num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
789	2987.563588	67.758156	2.785716	3.700187	48.369739
791	2989.649429	65.364620	2.711108	3.701662	54.598736
793	2991.738522	63.086268	2.590374	3.704093	42.140570
795	2993.821989	61.074301	2.561426	3.705897	41.120485
797	2995.911465	58.861520	2.514862	3.707596	36.716623
799	2997.997216	56.863011	2.447095	3.708442	37.082237
801	3000.083988	54.896996	2.383036	3.708661	33.454856
803	3002.167511	53.001261	2.308927	3.708989	32.875818
805	3004.253230	51.140871	2.250950	3.708976	28.301075
807	3006.338056	49.370613	2.192595	3.708700	26.021720
809	3008.423057	47.593577	2.116574	3.708551	25.160965
811	3010.506360	45.858355	2.064231	3.708244	24.674777
813	3012.590075	44.153060	2.023964	3.707568	21.528874
815	3014.675425	42.502377	1.985843	3.706950	21.174400
817	3016.760003	40.864577	1.921659	3.706613	19.092950
819	3018.846120	39.319306	1.856018	3.705625	17.303633
821	3020.930384	37.817279	1.816724	3.705139	15.525612
823	3023.015535	36.392306	1.773782	3.704635	15.018548
825	3025.102102	35.036018	1.723237	3.703480	13.932851
827	3027.188316	33.681155	1.659785	3.701974	13.295387
829	3029.273918	32.461563	1.575793	3.701098	12.591892
831	3031.357654	31.250252	1.507558	3.700436	14.923218
833	3033.441621	30.083029	1.459125	3.698352	9.831046
835	3035.521536	28.919130	1.388626	3.696953	9.178467
837	3037.604264	27.743757	1.326415	3.697485	8.736641
839	3039.686403	26.668334	1.294875	3.697509	8.322156
841	3041.767299	25.693240	1.215229	3.697491	8.676721
843	3043.848202	24.706400	1.167116	3.697968	7.549857
845	3045.919725	23.780221	1.134929	3.701531	6.618225
847	3047.996864	22.843506	1.096877	3.702866	6.230023
849	3050.071111	21.926003	1.070763	3.708207	5.691717
851	3052.147332	20.966906	1.043569	3.714252	5.026780
