crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-57.848686	1102	0.000000
281474976710655.000000	-46.820522	1103	0.000000
281474976710655.000000	-46.820061	1104	0.000000
281474976710655.000000	-46.002438	1105	0.000000
281474976710655.000000	-39.191696	1106	0.000000
281474976710655.000000	-37.878227	1107	0.000000
281474976710655.000000	-40.267761	1108	0.000000
281474976710655.000000	-35.241245	1109	0.000000
281474976710655.000000	-47.203979	1110	0.000000
281474976710655.000000	-37.413700	1111	0.000000
281474976710655.000000	-37.795460	1112	0.000000
281474976710655.000000	-36.782879	1113	0.000000
281474976710655.000000	-33.735840	1114	0.000000
281474976710655.000000	-31.405560	1115	0.000000
281474976710655.000000	-33.078449	1116	0.000000
281474976710655.000000	-31.750517	1117	0.000000
281474976710655.000000	-34.523651	1118	0.000000
281474976710655.000000	-30.189552	1119	0.000000
281474976710655.000000	-28.668242	1120	0.000000
281474976710655.000000	-30.706329	1121	0.000000
281474976710655.000000	-24.193266	1122	0.000000
281474976710655.000000	-27.767685	1123	0.000000
281474976710655.000000	-31.490311	1124	0.000000
281474976710655.000000	-26.223341	1125	0.000000
281474976710655.000000	-23.894592	1126	0.000000
281474976710655.000000	-24.711174	1127	0.000000
281474976710655.000000	-23.549524	1128	0.000000
281474976710655.000000	-23.128843	1129	0.000000
281474976710655.000000	-23.843149	1130	0.000000
281474976710655.000000	-21.288111	1131	0.000000
281474976710655.000000	-22.518450	1132	0.000000
281474976710655.000000	-19.890005	1133	0.000000
281474976710655.000000	-19.628387	1134	0.000000
281474976710655.000000	-19.884693	1135	0.000000
281474976710655.000000	-19.204977	1136	0.000000
281474976710655.000000	-18.463341	1137	0.000000
281474976710655.000000	-17.946211	1138	0.000000
281474976710655.000000	-17.316542	1139	0.000000
281474976710655.000000	-17.768826	1140	0.000000
281474976710655.000000	-16.449072	1141	0.000000
281474976710655.000000	-16.731413	1142	0.000000
281474976710655.000000	-16.001619	1143	0.000000
281474976710655.000000	-15.393742	1144	0.000000
281474976710655.000000	-15.007471	1145	0.000000
281474976710655.000000	-14.785031	1146	0.000000
281474976710655.000000	-14.718484	1147	0.000000
281474976710655.000000	-13.710108	1148	0.000000
281474976710655.000000	-12.942326	1149	0.000000
281474976710655.000000	-12.606691	1150	0.000000
281474976710655.000000	-12.460568	1151	0.000000
281474976710655.000000	-12.215781	1152	0.000000
281474976710655.000000	-11.711921	1153	0.000000
281474976710655.000000	-11.025887	1154	0.000000
281474976710655.000000	-10.629215	1155	0.000000
281474976710655.000000	-10.725089	1156	0.000000
281474976710655.000000	-10.433385	1157	0.000000
281474976710655.000000	-10.255109	1158	0.000000
281474976710655.000000	-9.629957	1159	0.000000
281474976710655.000000	-9.909780	1160	0.000000
281474976710655.000000	-9.370057	1161	0.000000
281474976710655.000000	-9.305142	1162	0.000000
281474976710655.000000	-8.574581	1163	0.000000
281474976710655.000000	-8.671391	1164	0.000000
281474976710655.000000	-8.046424	1165	0.000000
281474976710655.000000	-8.284081	1166	0.000000
281474976710655.000000	-7.633613	1167	0.000000
281474976710655.000000	-7.683630	1168	0.000000
281474976710655.000000	-7.250618	1169	0.000000
281474976710655.000000	-7.047926	1170	0.000000
281474976710655.000000	-7.121870	1171	0.000000
281474976710655.000000	-6.536742	1172	0.000000
281474976710655.000000	-6.746994	1173	0.000000
281474976710655.000000	-6.353405	1174	0.000000
281474976710655.000000	-6.127829	1175	0.000000
281474976710655.000000	-6.180113	1176	0.000000
281474976710655.000000	-5.663976	1177	0.000000
281474976710655.000000	-5.737915	1178	0.000000
281474976710655.000000	-5.299715	1179	0.000000
281474976710655.000000	-5.281787	1180	0.000000
281474976710655.000000	-5.058102	1181	0.000000
281474976710655.000000	-4.860782	1182	0.000000
281474976710655.000000	-5.043594	1183	0.000000
281474976710655.000000	-4.632432	1184	0.000000
281474976710655.000000	-4.644064	1185	0.000000
281474976710655.000000	-4.279796	1186	0.000000
281474976710655.000000	-4.311668	1187	0.000000
281474976710655.000000	-4.143998	1188	0.000000
281474976710655.000000	-4.036507	1189	0.000000
281474976710655.000000	-3.859327	1190	0.000000
281474976710655.000000	-3.684224	1191	0.000000
281474976710655.000000	-3.864611	1192	0.000000
281474976710655.000000	-3.506035	1193	0.000000
