num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1925	4943.167786	69.977949	-4.776835	0.592926	61.390950
1927	4945.266955	62.703920	-4.460889	0.563081	49.558704
1929	4947.342932	56.540790	-4.253260	0.591852	43.781217
1931	4949.435959	49.114217	-4.386555	0.581339	35.832738
1933	4951.534211	43.666221	-3.925031	0.567766	26.314345
1935	4953.619445	38.155368	-3.700432	0.580045	18.507343
1937	4955.706476	33.227248	-3.462629	0.581325	12.321642
1939	4957.798376	28.824081	-3.058492	0.580414	9.965449
1941	4959.899699	25.067730	-2.692936	0.586067	7.857772
1943	4961.990086	22.103135	-2.544601	0.591583	6.537390
1945	4964.057066	19.259035	-2.269109	0.547673	4.086727
1947	4966.153146	15.988315	-1.690432	0.560230	3.134339
