crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	44.090916	2243	0.000000
281474976710655.000000	50.253330	2244	0.000000
281474976710655.000000	30.772402	2245	0.000000
281474976710655.000000	49.782372	2246	0.000000
281474976710655.000000	31.590822	2247	0.000000
281474976710655.000000	30.545322	2248	0.000000
281474976710655.000000	29.872635	2249	0.000000
281474976710655.000000	30.038544	2250	0.000000
281474976710655.000000	29.660212	2251	0.000000
281474976710655.000000	27.450987	2252	0.000000
281474976710655.000000	26.484022	2253	0.000000
281474976710655.000000	27.514883	2254	0.000000
281474976710655.000000	23.720785	2255	0.000000
281474976710655.000000	19.996145	2256	0.000000
281474976710655.000000	21.227100	2257	0.000000
281474976710655.000000	18.730801	2258	0.000000
281474976710655.000000	17.994728	2259	0.000000
281474976710655.000000	17.312391	2260	0.000000
281474976710655.000000	16.818769	2261	0.000000
281474976710655.000000	15.076962	2262	0.000000
281474976710655.000000	13.841697	2263	0.000000
281474976710655.000000	13.924804	2264	0.000000
281474976710655.000000	12.763696	2265	0.000000
281474976710655.000000	12.378220	2266	0.000000
281474976710655.000000	11.273403	2267	0.000000
281474976710655.000000	10.408401	2268	0.000000
281474976710655.000000	10.087572	2269	0.000000
281474976710655.000000	9.254808	2270	0.000000
281474976710655.000000	8.657628	2271	0.000000
281474976710655.000000	8.282596	2272	0.000000
281474976710655.000000	7.698660	2273	0.000000
281474976710655.000000	6.939048	2274	0.000000
281474976710655.000000	6.676134	2275	0.000000
281474976710655.000000	6.243066	2276	0.000000
281474976710655.000000	5.970860	2277	0.000000
281474976710655.000000	5.334515	2278	0.000000
281474976710655.000000	5.252626	2279	0.000000
281474976710655.000000	4.832735	2280	0.000000
281474976710655.000000	4.426511	2281	0.000000
281474976710655.000000	4.340232	2282	0.000000
281474976710655.000000	3.907148	2283	0.000000
281474976710655.000000	3.861336	2284	0.000000
281474976710655.000000	3.510826	2285	0.000000
281474976710655.000000	3.294849	2286	0.000000
